"","size","duration","beta","init_prop","risk","infec","import","birth_death","phys_top","phys_deg","soc_top","soc_deg","norm","random_switch","time"
"1","10000","2","1000000000.000000","0.05","0.0000","0.2","1e-04","0.001","random","30","random","30","10","1e-04","unconverged"
"2","10000","2","1000000000.000000","0.05","0.0000","0.2","1e-04","0.001","random","30","random","30","5","1e-04","unconverged"
"3","10000","2","1000000000.000000","0.05","0.2500","0.2","1e-04","0.001","random","30","random","30","10","1e-04","unconverged"
"4","10000","2","1000000000.000000","0.05","0.2500","0.2","1e-04","0.001","random","30","random","30","5","1e-04","unconverged"
"5","10000","2","1000000000.000000","0.05","0.5000","0.2","1e-04","0.001","random","30","random","30","10","1e-04","unconverged"
"6","10000","2","1000000000.000000","0.05","0.5000","0.2","1e-04","0.001","random","30","random","30","5","1e-04","unconverged"
"7","10000","2","1000000000.000000","0.05","0.7500","0.2","1e-04","0.001","random","30","random","30","10","1e-04","unconverged"
"8","10000","2","1000000000.000000","0.05","0.7500","0.2","1e-04","0.001","random","30","random","30","5","1e-04","unconverged"
"9","10000","2","1000000000.000000","0.05","1.0000","0.2","1e-04","0.001","random","30","random","30","10","1e-04","unconverged"
"10","10000","2","1000000000.000000","0.05","1.0000","0.2","1e-04","0.001","random","30","random","30","5","1e-04","unconverged"
